OBJECTID,NBRDESC,ACRES,LABEL,COLOR_2,07_mean
"1",ABELL,46.710431600000000,Abell,"2",0.190577973233124
"2",ALLENDALE,260.023863790000007,Allendale,"2",0.189882059806971
"3",ARCADIA,144.678074600000002,Arcadia,"2",0.255883003042915
"4",ARLINGTON,115.584689190000006,Arlington,"5",0.249873233536895
"5",ARMISTEAD GARDENS,302.585653239999999,Armistead Gardens,"2",0.381051143913864
"6",ASHBURTON,225.555235780000004,Ashburton,"3",0.340053499143631
"7",BALTIMORE HIGHLANDS,96.967069570000007,Baltimore Highlands,"4",0.060994517673914
"8",PATTERSON PARK NEIGHBORHOOD,108.112660689999998,Patterson Park Neighborhood,"2",0.029132493101585
"9",BARCLAY,89.953067579999995,Barclay,"1",0.128408414018464
"10",BARRE CIRCLE,15.327026230000000,Barre Circle,"3",0.228124438320053
"11",BEECHFIELD,257.890120669999988,Beechfield,"4",0.433486150126855
"12",BELAIR-PARKSIDE,20.616518429999999,Belair-Parkside,"4",0.333678159895594
"13",BELLONA-GITTINGS,104.037813709999995,Bellona-Gittings,"1",0.535458943593987
"14",BEREA,217.614899129999998,Berea,"5",0.055451797855338
"15",BETTER WAVERLY,180.337837739999998,Better Waverly,"4",0.198993586756997
"16",BEVERLY HILLS,66.663868609999994,Beverly Hills,"3",0.319274996590764
"17",BIDDLE STREET,72.223979430000000,Biddle Street,"4",0.120353582871383
"18",BLYTHEWOOD,48.570943710000002,Blythewood,"4",0.474299450828625
"19",BOLTON HILL,145.743210000000005,Bolton Hill,"4",0.251602361907678
"20",BOYD-BOOTH,24.788620099999999,Boyd-Booth,"2",0.175814192123966
"21",BREWERS HILL,57.059726869999999,Brewers Hill,"3",0.033337933315282
"22",BRIDGEVIEW/GREENLAWN,181.313308119999988,Bridgeview/Greenlawn,"1",0.205883872313939
"23",BROADWAY EAST,221.657546370000006,Broadway East,"2",0.090335384448718
"24",BROENING MANOR,104.055201260000004,Broening Manor,"4",0.121756352275603
"25",BROOKLYN,546.121305219999954,Brooklyn,"4",0.222596484254491
"26",BURLEITH-LEIGHTON,54.098490360000000,Burleith-Leighton,"1",0.300135749467335
"27",BUTCHER'S HILL,49.691672670000003,Butcher's Hill,"1",0.149909705472139
"28",CALLAWAY-GARRISON,121.794717629999994,Callaway-Garrison,"1",0.320935910869294
"29",CAMERON VILLAGE,66.458753639999998,Cameron Village,"3",0.212190141025083
"30",CANTON,365.101511510000023,Canton,"4",0.055709051298221
"31",CANTON INDUSTRIAL AREA,1592.614007469999933,Canton Industrial Area,"2",0.023019356067017
"32",CARROLL - CAMDEN INDUSTRIAL AREA,449.929381429999978,Carroll - Camden Industrial Area,"4",0.117476080660058
"33",CARROLL PARK,220.136066830000004,Carroll Park,"3",0.210392902011590
"34",CARROLL-SOUTH HILTON,310.461851400000000,Carroll-South Hilton,"3",0.444107472555799
"35",CARROLLTON RIDGE,142.639846559999995,Carrollton Ridge,"5",0.095636748668245
"36",CEDARCROFT,85.577750100000003,Cedarcroft,"3",0.558636642499578
"37",CEDMONT,240.630833840000008,Cedmont,"1",0.292403718598862
"38",CEDONIA,180.609296260000008,Cedonia,"2",0.308900166193719
"39",CENTRAL FOREST PARK,95.576133080000005,Central Forest Park,"2",0.344882085323038
"40",CENTRAL PARK HEIGHTS,283.420105530000001,Central Park Heights,"2",0.263846454167261
"41",CHARLES NORTH,88.830478600000006,Charles North,"2",0.073442227756190
"42",CHERRY HILL,749.569022799999971,Cherry Hill,"1",0.191683792629283
"43",CHESWOLDE,547.375954040000011,Cheswolde,"3",0.547051743593671
"44",CHINQUAPIN PARK,73.426404489999996,Chinquapin Park,"4",0.378831876712132
"45",ORCHARD RIDGE,177.654110239999994,Orchard Ridge,"5",0.248183772501579
"46",CLIFTON PARK,358.584201290000010,Clifton Park,"2",0.203990827893554
"47",COLDSPRING,415.919440300000019,Coldspring,"5",0.667326253947174
"48",COLDSTREAM HOMESTEAD MONTEBELLO,329.431218349999995,Coldstream Homestead Montebello,"5",0.149513848930978
"49",CONCERNED CITIZENS OF FOREST PARK,51.127731420000003,Concerned Citizens Of Forest Park,"3",0.332271423305176
"50",COPPIN HEIGHTS/ASH-CO-EAST,122.855445829999994,Coppin Heights/Ash-Co-East,"4",0.260851114719606
"51",CROSS COUNTRY,379.138317040000004,Cross Country,"4",0.450784349165031
"52",CROSS KEYS,178.053819919999995,Cross Keys,"1",0.375059598697377
"53",CURTIS BAY,327.110253300000011,Curtis Bay,"1",0.248503397865835
"54",CURTIS BAY INDUSTRIAL AREA,268.018986369999993,Curtis Bay Industrial Area,"5",0.052108052548742
"55",CYLBURN,141.402028720000004,Cylburn,"4",0.373396257017099
"56",DARLEY PARK,33.257613790000001,Darley Park,"4",0.137342797522450
"57",DICKEYVILLE,136.402090140000013,Dickeyville,"4",0.676306691400387
"58",DOLFIELD,108.837036979999993,Dolfield,"2",0.256109591606909
"59",DORCHESTER,121.968741750000007,Dorchester,"4",0.271392358175424
"60",DOWNTOWN,260.703737550000028,Downtown,"2",0.028497176180020
"61",DRUID HEIGHTS,57.929780960000002,Druid Heights,"2",0.148499309653908
"62",DRUID HILL PARK,623.816703029999985,Druid Hill Park,"4",0.536955482680431
"63",DUNBAR-BROADWAY,109.801704630000003,Dunbar-Broadway,"3",0.091339500632348
"64",DUNDALK MARINE TERMINAL,273.975456969999982,Dundalk Marine Terminal,"3",0.000000000000000
"65",EAST ARLINGTON,82.782704420000002,East Arlington,"4",0.284270072972459
"66",EAST BALTIMORE MIDWAY,191.884369109999994,East Baltimore Midway,"2",0.088490661590184
"67",EASTERWOOD,49.434694260000001,Easterwood,"3",0.111995768504896
"68",EASTWOOD,17.951916839999999,Eastwood,"5",0.012928454877007
"69",EDMONDSON VILLAGE,118.931142660000006,Edmondson Village,"3",0.160100636428511
"70",EDNOR GARDENS-LAKESIDE,326.842103140000006,Ednor Gardens-Lakeside,"2",0.214356926551266
"71",ELLWOOD PARK/MONUMENT,89.244352160000005,Ellwood Park/Monument,"5",0.054291941598201
"72",EVERGREEN,36.834994989999998,Evergreen,"1",0.638090240296762
"73",EVERGREEN LAWN,34.177851439999998,Evergreen Lawn,"4",0.130380229771411
"74",FAIRFIELD AREA,1538.745527089999996,Fairfield Area,"3",0.068310870224484
"75",FAIRMONT,106.022932530000006,Fairmont,"1",0.641405153320141
"76",FALLSTAFF,189.142992090000007,Fallstaff,"1",0.243647144129904
"77",FEDERAL HILL,95.305175790000007,Federal Hill,"4",0.098391472186666
"78",FELLS POINT,184.357551080000007,Fells Point,"3",0.060958982832319
"79",FOREST PARK,99.250926140000004,Forest Park,"5",0.313813919739944
"80",FOREST PARK GOLF COURSE,65.924568769999993,Forest Park Golf Course,"4",0.249608414917912
"81",FRANKFORD,1359.880447409999988,Frankford,"4",0.311085711951244
"82",FRANKLIN SQUARE,110.153574660000004,Franklin Square,"1",0.141905939706779
"83",FRANKLINTOWN,381.026121339999975,Franklintown,"1",0.729562937894009
"84",FRANKLINTOWN ROAD,78.654199449999993,Franklintown Road,"1",0.373634876413939
"85",GARWYN OAKS,84.068185270000001,Garwyn Oaks,"1",0.349916412390300
"86",GAY STREET,70.137483119999999,Gay Street,"5",0.185297477407297
"87",GLEN,478.234618300000022,Glen,"2",0.353713972760348
"88",GLEN OAKS,172.323651020000000,Glen Oaks,"2",0.356591382083625
"89",GLENHAM-BELHAR,479.641195980000020,Glenham-Belhar,"3",0.366281624563919
"90",GRACELAND PARK,200.023938229999999,Graceland Park,"2",0.159764260300700
"91",GREEKTOWN,143.644068190000013,Greektown,"5",0.070530018348688
"92",GREENMOUNT CEMETERY,68.413359600000007,Greenmount Cemetery,"3",0.242920214263495
"93",GREENMOUNT WEST,64.081803019999995,Greenmount West,"5",0.116156441504602
"94",GREENSPRING,111.267779439999998,Greenspring,"3",0.266319390070720
"95",GROVE PARK,219.713918409999991,Grove Park,"5",0.554108684102054
"96",GUILFORD,353.743960179999988,Guilford,"4",0.558903825644012
"97",GWYNNS FALLS,114.398419009999998,Gwynns Falls,"5",0.309130161166292
"98",GWYNNS FALLS/LEAKIN PARK,477.043418410000015,Gwynns Falls/Leakin Park,"2",0.853920144184432
"99",HAMPDEN,393.249167590000013,Hampden,"5",0.214266945967266
"100",HANLON-LONGWOOD,278.516252959999974,Hanlon-Longwood,"2",0.306409426868983
"101",HAMILTON HILLS,730.834573579999983,Hamilton Hills,"1",0.289125808427825
"102",HARLEM PARK,199.791355329999988,Harlem Park,"4",0.170731382222373
"103",HARWOOD,45.395985850000002,Harwood,"3",0.201297072483938
"104",HAWKINS POINT,1257.248602099999971,Hawkins Point,"2",0.204909410079713
"105",HERITAGE CROSSING,54.516040500000003,Heritage Crossing,"2",0.082339193599326
"106",HERRING RUN PARK,154.107305129999986,Herring Run Park,"3",0.590878661112798
"107",HIGHLANDTOWN,90.949200739999995,Highlandtown,"1",0.029823888744312
"108",HILLEN,107.973050139999998,Hillen,"5",0.229071348460929
"109",HOES HEIGHTS,49.618103880000000,Hoes Heights,"2",0.355932501383396
"110",HOLABIRD INDUSTRIAL PARK,361.046225600000014,Holabird Industrial Park,"1",0.132380699376787
"111",HOLLINS MARKET,68.450625470000006,Hollins Market,"4",0.163687725290337
"112",HOMELAND,394.070257400000003,Homeland,"5",0.577095077350675
"113",HOPKINS BAYVIEW,265.784801280000011,Hopkins Bayview,"2",0.079997308602186
"114",HOWARD PARK,676.785085340000023,Howard Park,"1",0.436676624927406
"115",HUNTING RIDGE,167.569080909999997,Hunting Ridge,"4",0.585610403367214
"116",IDLEWOOD,133.122654269999998,Idlewood,"4",0.271576997435181
"117",INNER HARBOR,154.496550420000005,Inner Harbor,"5",0.043000261962963
"118",IRVINGTON,568.862827739999943,Irvington,"1",0.314283335612751
"119",JOHNS HOPKINS HOMEWOOD,164.159567100000004,Johns Hopkins Homewood,"2",0.414791669929719
"120",JOHNSTON SQUARE,109.361198819999998,Johnston Square,"1",0.093698662458274
"121",JONES FALLS AREA,179.206999599999989,Jones Falls Area,"1",0.302671454098518
"122",JONESTOWN,86.053757630000007,Jonestown,"1",0.049300905350980
"123",BAYVIEW,59.786107240000000,Bayview,"4",0.044553197044865
"124",KENILWORTH PARK,92.819953209999994,Kenilworth Park,"5",0.337796270157476
"125",KERNEWOOD,46.052112030000004,Kernewood,"1",0.436833292373555
"126",KESWICK,51.182486930000003,Keswick,"5",0.561735563249355
"127",KRESSON,171.483100409999992,Kresson,"5",0.137732699507736
"128",LAKE EVESHAM,45.497389750000004,Lake Evesham,"2",0.496283170302094
"129",LAKE WALKER,129.890548760000001,Lake Walker,"4",0.513686675959669
"130",LAKELAND,350.775606670000002,Lakeland,"2",0.250010667701237
"131",LANGSTON HUGHES,38.701760929999999,Langston Hughes,"3",0.180064856066866
"132",LAURAVILLE,378.439300820000028,Lauraville,"4",0.468939793115154
"133",LEVINDALE,94.605473399999994,Levindale,"3",0.279482859574278
"134",LIBERTY SQUARE,74.893124920000005,Liberty Square,"3",0.223683653932807
"135",LITTLE ITALY,32.021246099999999,Little Italy,"4",0.023440037338874
"136",LOCH RAVEN,365.086005619999980,Loch Raven,"5",0.346140498536297
"137",LOCUST POINT,85.951588619999995,Locust Point,"1",0.060912494861838
"138",LOCUST POINT INDUSTRIAL AREA,510.817365390000020,Locust Point Industrial Area,"4",0.042897658353759
"139",LOWER HERRING RUN PARK,55.655918300000003,Lower Herring Run Park,"3",0.433711339228152
"140",LOYOLA/NOTRE DAME,192.499244119999986,Loyola/Notre Dame,"3",0.451589159536090
"141",LUCILLE PARK,67.078468900000004,Lucille Park,"5",0.160924138945978
"142",MADISON PARK,101.814207740000001,Madison Park,"1",0.143951322055086
"143",MADISON-EASTEND,66.747253160000000,Madison-Eastend,"2",0.067850818105245
"144",MAYFIELD,83.217676209999993,Mayfield,"4",0.368583900882331
"145",MCELDERRY PARK,80.936205990000005,McElderry Park,"3",0.045120453102100
"146",MEDFIELD,166.524646600000011,Medfield,"3",0.308834679754060
"147",MEDFORD,98.565367649999999,Medford,"3",0.084825165541320
"148",MID-GOVANS,82.455599500000005,Mid-Govans,"4",0.284244618818100
"149",MID-TOWN BELVEDERE,141.378191630000003,Mid-Town Belvedere,"3",0.100713056618284
"150",MIDDLE BRANCH/REEDBIRD PARKS,233.137585089999988,Middle Branch/Reedbird Parks,"5",0.286467387312090
"151",MIDDLE EAST,126.728407230000002,Middle East,"1",0.073745749997600
"152",MIDTOWN-EDMONDSON,95.721403499999994,Midtown-Edmondson,"2",0.166745211126308
"153",MILLHILL,134.268707820000003,Millhill,"2",0.161140562919172
"154",MILTON-MONTFORD,36.342897720000003,Milton-Montford,"5",0.053608539162886
"155",MONDAWMIN,244.972938879999987,Mondawmin,"2",0.116688940478459
"156",MONTEBELLO,297.062881259999983,Montebello,"1",0.254682777611755
"157",MORAVIA-WALTHER,83.848549259999999,Moravia-Walther,"5",0.303324857760132
"158",MORGAN PARK,46.470698609999999,Morgan Park,"3",0.538861186336686
"159",MORGAN STATE UNIVERSITY,168.809518700000012,Morgan State University,"2",0.335863880290768
"160",MORRELL PARK,536.722117919999960,Morrell Park,"5",0.272982393977933
"161",MOSHER,73.768480940000003,Mosher,"3",0.233786037467981
"162",NEW SOUTHWEST/MOUNT CLARE,75.673022470000006,New Southwest/Mount Clare,"2",0.142922453665080
"163",MOUNT HOLLY,79.308841409999999,Mount Holly,"4",0.389329440730726
"164",MOUNT VERNON,145.062539450000003,Mount Vernon,"5",0.091141638763754
"165",MOUNT WASHINGTON,794.262737059999949,Mount Washington,"4",0.681779193935215
"166",MOUNT WINANS,49.002660210000002,Mount Winans,"4",0.221124080396662
"167",MT PLEASANT PARK,161.912145589999994,Mt Pleasant Park,"3",0.437647057822693
"168",NEW NORTHWOOD,205.365148650000009,New Northwood,"4",0.268375881302618
"169",NORTH HARFORD ROAD,409.572676849999993,North Harford Road,"2",0.308133608168836
"170",NORTH ROLAND PARK/POPLAR HILL,392.399836470000025,North Roland Park/Poplar Hill,"3",0.650704930526665
"171",NORTHWEST COMMUNITY ACTION,74.211462150000003,Northwest Community Action,"3",0.206105370743987
"172",O'DONNELL HEIGHTS,101.056230690000007,O'Donnell Heights,"5",0.092905365881140
"173",OAKENSHAWE,40.004119199999998,Oakenshawe,"1",0.400145887627501
"174",OAKLEE,26.076919260000000,Oaklee,"5",0.109908751975280
"175",OLDTOWN,107.123449969999996,Oldtown,"2",0.151664870814357
"176",OLIVER,168.275179670000000,Oliver,"4",0.143504713072429
"177",ORANGEVILLE,236.490103309999995,Orangeville,"1",0.160563094257656
"178",ORANGEVILLE INDUSTRIAL AREA,285.037251210000022,Orangeville Industrial Area,"3",0.127343088439795
"179",ORIGINAL NORTHWOOD,110.354403129999994,Original Northwood,"3",0.587338844460643
"180",OTTERBEIN,65.610858550000003,Otterbein,"2",0.165366805715049
"181",OVERLEA,194.754176620000010,Overlea,"4",0.374010900254047
"182",PANWAY/BRADDISH AVENUE,51.934760349999998,Panway/Braddish Avenue,"4",0.238228373726894
"183",PARK CIRCLE,198.755051860000009,Park Circle,"5",0.348388707856941
"184",PARKLANE,79.269422660000004,Parklane,"1",0.303889246708956
"185",PARKSIDE,75.199618860000001,Parkside,"5",0.149200685536630
"186",PARKVIEW/WOODBROOK,63.070150079999998,Parkview/Woodbrook,"5",0.200450178280500
"187",PATTERSON PARK,144.569629829999997,Patterson Park,"5",0.187507254924099
"188",PATTERSON PLACE,24.324748700000001,Patterson Place,"4",0.059284475257317
"189",PEN LUCY,109.808942369999997,Pen Lucy,"1",0.331911988986602
"190",PENN NORTH,86.528706610000000,Penn North,"1",0.114343323932601
"191",PENN-FALLSWAY,86.056188340000006,Penn-Fallsway,"3",0.026947062230283
"192",PENROSE/FAYETTE STREET OUTREACH,225.873841220000003,Penrose/Fayette Street Outreach,"5",0.135601068678565
"193",PERKINS HOMES,23.720539790000000,Perkins Homes,"1",0.167560923678455
